0.189	24.22276705
0.353	38.315152554
0.516	48.4322361492
0.68	52.3988460798
0.825	57.4971404528
1.007	59.3012239018
1.17	63.1697293748
1.316	65.0802080391
1.479	70.7322674092
1.661	74.0304498223
1.806	76.3749902275
1.988	82.5308618741
2.134	84.2138816325
2.297	88.8736749933
2.461	91.0772490415
2.624	91.6053276914
2.788	88.4801186482
2.951	92.5185960681
3.133	94.0128229688
3.297	97.506788938
3.442	105.7026132553
3.606	102.6810377041
3.769	103.458576875
3.933	105.8610080483
4.096	103.5852499925
4.26	94.8565635222
4.423	91.3874238954
4.587	90.4284122086
4.751	92.8089660014
4.914	90.8710234653
5.078	80.3345842915
5.241	80.4429084745
5.405	73.0393287785
5.568	61.9668128767
5.732	61.6731125247
5.896	68.9644098811
6.059	80.3424342335
6.223	82.4527744591
6.386	77.9354696235
6.532	69.8569732227
6.732	65.0990318334
6.877	55.8438598667

