0.721	63.9527565755
1.084	126.4249039747
1.52	146.0101851242
1.882	158.5383285392
2.245	188.9140894084
2.68	191.7449291116
3.043	201.5290766316
3.406	209.0405492123
3.841	209.3142190201
4.204	210.2131849837
4.567	208.3384782055
5.728	203.8225909363
6.889	198.9456922077
8.05	190.088594095
9.211	186.532269412
10.444	182.5262321421
11.533	178.5814706934
12.694	169.5336460087
13.927	167.029063941
15.016	164.6636271312
16.249	161.0758888475
17.41	153.6505182028
18.571	149.7279350288
19.732	147.0998518014
20.82	145.4721182908
22.054	144.2161974537
23.142	143.0276385598
24.303	143.0946796775
25.537	137.6041873745
26.77	130.715269066
27.859	129.7380424509
29.02	124.6547212383

