0.721	6.9419275902079400E-07
1.084	7.5135771777027800E-07
1.52	7.8372669285058400E-07
1.882	7.9880568096768700E-07
2.245	8.0595367520198300E-07
2.68	7.9671468259602000E-07
3.043	7.9342268520745700E-07
3.406	7.8398669266829400E-07
3.841	7.7354370078064800E-07
4.204	7.6501370730295100E-07
4.567	7.5745171314425100E-07
5.728	7.4176772480246600E-07
6.889	7.3003673348611000E-07
8.05	7.2238573898661900E-07
9.211	7.1769074242282100E-07
10.444	7.1111274719961300E-07
11.533	7.0416575202928100E-07
12.694	6.9842975615464100E-07
13.927	6.9267075999467400E-07
15.016	6.8751476370349800E-07
16.249	6.8159276775593400E-07
17.41	6.7656677110840600E-07
18.571	6.7218477418944900E-07
19.732	6.6795077698705500E-07
