0.306	1.6063387097417300E-06
0.6	1.9882180234642400E-06
0.906	2.1793076253241100E-06
1.2	2.2999773550590300E-06
1.507	2.3889771464372200E-06
1.809	2.4598469744879500E-06
2.098	2.5173768314154000E-06
2.409	2.5668067058530200E-06
2.692	2.6093865956223800E-06
2.998	2.6465864978307200E-06
3.288	2.6799164089358300E-06
3.599	2.7091463301507900E-06
3.91	2.7364462558569200E-06
4.2	2.7616461866677100E-06
4.498	2.7847461225198700E-06
4.788	2.8059560632091200E-06
5.103	2.8256660077860600E-06
5.401	2.8442959549575800E-06
5.695	2.8617959051450400E-06
6.002	2.8783058575723000E-06
6.296	2.8935258137978100E-06
6.607	2.9079557718018500E-06
6.881	2.9216257319775600E-06
7.195	2.9346256938773800E-06
7.481	2.9467956582077600E-06
7.792	2.9583656241155800E-06
8.099	2.9694155913907400E-06
8.385	2.9799355600794500E-06
8.687	2.9898155305182200E-06
8.973	2.9992955020260800E-06
9.295	3.0064954805569000E-06
