0.306	5.6494284035635400E-07
0.6	6.7875376954086300E-07
0.906	7.6465270768241300E-07
1.2	8.3155365436165000E-07
1.507	9.0197759328550400E-07
1.809	9.5788954120991700E-07
2.098	1.0030194969213400E-06
2.409	1.0518594467854600E-06
2.692	1.0882994076982200E-06
2.998	1.1248093674322100E-06
3.288	1.1580693293333300E-06
3.599	1.1884892937166600E-06
3.91	1.2164792601546100E-06
4.2	1.2427592277942000E-06
4.498	1.2670991972647400E-06
4.788	1.2876891708904800E-06
5.103	1.3111591403365300E-06
5.401	1.3312991138390700E-06
5.695	1.3483990910102600E-06
6.002	1.3681390640549900E-06
6.296	1.3833190433172100E-06
6.607	1.4007790189023900E-06
6.881	1.4144089997344200E-06
7.195	1.4285289797213600E-06
7.481	1.4421289602159500E-06
7.792	1.4548289417608600E-06
8.099	1.4669189239890200E-06
8.385	1.4784189071166700E-06
8.687	1.4892888909984000E-06
8.973	1.4985888772081300E-06
9.295	1.5082588625819500E-06
